Company,Link
'Ponte Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=383&lang=en
'Porto Santo Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=68&lang=en
'Praamid',http://www.ferry-site.dk/ferrycompany.php?Rid=163&lang=en
'Randers Fjords Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=268&lang=en
'Red Funnel',http://www.ferry-site.dk/ferrycompany.php?Rid=196&lang=en
'Rederij Doeksen',http://www.ferry-site.dk/ferrycompany.php?Rid=307&lang=en
'Rete Ferroviaria Italiana',http://www.ferry-site.dk/ferrycompany.php?Rid=341&lang=en
'S.N.A.V.',http://www.ferry-site.dk/ferrycompany.php?Rid=84&lang=en
'Salamis Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=252&lang=en
'Samsø Rederi',http://www.ferry-site.dk/ferrycompany.php?Rid=303&lang=en
'Samsølinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=346&lang=en
'SAOS Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=224&lang=en
'Saronic Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=313&lang=en
'Scandlines GmbH',http://www.ferry-site.dk/ferrycompany.php?Rid=76&lang=en
'Sea-Cargo',http://www.ferry-site.dk/ferrycompany.php?Rid=294&lang=en
'Seajets',http://www.ferry-site.dk/ferrycompany.php?Rid=316&lang=en
'SeaRoad',http://www.ferry-site.dk/ferrycompany.php?Rid=369&lang=en
'SeaSpeed ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=356&lang=en
'Seatruck Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=173&lang=en
'Sejerøbugtens Færger',http://www.ferry-site.dk/ferrycompany.php?Rid=276&lang=en
'Silja Line',http://www.ferry-site.dk/ferrycompany.php?Rid=82&lang=en
'Siremar',http://www.ferry-site.dk/ferrycompany.php?Rid=362&lang=en
'Smyril Line',http://www.ferry-site.dk/ferrycompany.php?Rid=83&lang=en
'ST. Peter Line',http://www.ferry-site.dk/ferrycompany.php?Rid=287&lang=en
'Star Lines',http://www.ferry-site.dk/ferrycompany.php?Rid=375&lang=en
'Stena Line',http://www.ferry-site.dk/ferrycompany.php?Rid=86&lang=en
'Strandfaraskip Landsins',http://www.ferry-site.dk/ferrycompany.php?Rid=220&lang=en
'Strynø-Rudkøbing Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=248&lang=en
'Superfast Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=87&lang=en
'Tallink',http://www.ferry-site.dk/ferrycompany.php?Rid=35&lang=en
'TESO',http://www.ferry-site.dk/ferrycompany.php?Rid=261&lang=en
'Thyborøn – Agger Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=264&lang=en
'Tirrenia',http://www.ferry-site.dk/ferrycompany.php?Rid=90&lang=en
'Toremar (Toscana Regionale Marittima)',http://www.ferry-site.dk/ferrycompany.php?Rid=91&lang=en
'Torghatten Nord',http://www.ferry-site.dk/ferrycompany.php?Rid=336&lang=en
'Torghatten Trafikkselskap',http://www.ferry-site.dk/ferrycompany.php?Rid=338&lang=en
'Transfennica',http://www.ferry-site.dk/ferrycompany.php?Rid=272&lang=en
'Trasmapi',http://www.ferry-site.dk/ferrycompany.php?Rid=374&lang=en
'Trasmed',http://www.ferry-site.dk/ferrycompany.php?Rid=380&lang=en
'Trasmediterranea',http://www.ferry-site.dk/ferrycompany.php?Rid=321&lang=en
'Trinidad & Tobago Inter-Island Transportation',http://www.ferry-site.dk/ferrycompany.php?Rid=340&lang=en
'TT-Line',http://www.ferry-site.dk/ferrycompany.php?Rid=95&lang=en
'TT-Line (Spirit of Tasmania)',http://www.ferry-site.dk/ferrycompany.php?Rid=96&lang=en
'Tunøfærgen',http://www.ferry-site.dk/ferrycompany.php?Rid=201&lang=en
'UKR Ferry',http://www.ferry-site.dk/ferrycompany.php?Rid=97&lang=en
'Unity Line',http://www.ferry-site.dk/ferrycompany.php?Rid=99&lang=en
'Ven-Trafiken',http://www.ferry-site.dk/ferrycompany.php?Rid=270&lang=en
'Ventouris Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=100&lang=en
'Venø Færgefart',http://www.ferry-site.dk/ferrycompany.php?Rid=266&lang=en
'Viking Line',http://www.ferry-site.dk/ferrycompany.php?Rid=101&lang=en
